,0
number_inpatient,0.9366872200198998
discharge_disposition_id,0.5518684227021429
number_emergency,0.26338344237286626
num_medications,0.18078531232685488
time_in_hospital,0.17514306044743644
number_diagnoses,0.16676868471274356
age,0.14241372409585987
num_lab_procedures,0.14227575947785057
admission_type_id,0.13385826822633165
number_outpatient,0.11980794228898346
num_procedures,0.1043370665796131
admission_source_id,0.08469578855753439
gender,0.07025137935640753
race_Caucasian,0.06289959678267006
num_lab_procedures_bin_medium,0.04982348300827222
num_lab_procedures_bin_low,0.048891491831835034
race_Hispanic,0.025543957754950327
race_Unknown,0.02456544197486725
race_Other,0.014393164533263293
race_Asian,0.009032232067618419
