,0
cox_risk,19.679176793579146
number_inpatient,18.219752045355545
discharge_disposition_id,10.38547911689841
number_emergency,5.6915714223859855
encounter_id,5.08846046391079
age,4.03552729309531
number_diagnoses,3.64940576367646
num_medications,3.5539946338878385
time_in_hospital,3.528058623862197
num_lab_procedures,3.4406654559667564
admission_type_id,2.774481019226149
number_outpatient,2.4776270366635607
num_procedures,2.0947042436641454
admission_source_id,1.8001305239090546
gender,1.1328572926605072
